product_detail,product_type,product_category,revenue,units,n_tx,avg_price,rev_share_%,units_per_store_day,kind,store_conc,conc_flag,rev_rank,cum_rev_share_%
Brazilian Rg,Organic brewed coffee,Coffee,13155.0,4385,2904,3.0,1.882479663746059,8.075506445672191,prep,0.3493728620296465,False,66,66.6540442982739
Ethiopia Rg,Gourmet brewed coffee,Coffee,13179.0,4393,2866,3.0,1.8859140622203958,8.0902394106814,prep,0.34486683359890735,False,67,68.5399583604943
Spicy Eye Opener Chai Lg,Brewed Chai tea,Tea,13652.4,4404,2951,3.1,1.9536575721266964,8.11049723756906,prep,0.3710263396911898,False,68,70.49361593262098
Dark chocolate Rg,Hot chocolate,Drinking Chocolate,14024.5,4007,2636,3.5,2.0069050584725656,7.379373848987108,prep,0.37758921886698277,False,69,72.50052099109355
Ethiopia Lg,Gourmet brewed coffee,Coffee,14794.5,4227,2741,3.5,2.1170920095242165,7.7845303867403315,prep,0.3671634729122309,False,70,74.61761300061777
Brazilian Lg,Organic brewed coffee,Coffee,15109.5,4317,2771,3.5,2.1621684894998916,7.9502762430939224,prep,0.3595089182302525,False,71,76.77978149011767
Cappuccino,Barista Espresso,Coffee,15997.5,4266,2793,3.75,2.2892412330503666,7.856353591160221,prep,0.3485700890764182,False,72,79.06902272316803
Sustainably Grown Organic Rg,Hot chocolate,Drinking Chocolate,16233.75,4329,2842,3.75,2.323048593032123,7.972375690607735,prep,0.34696234696234696,False,73,81.39207131620016
Jamaican Coffee River Lg,Premium brewed coffee,Coffee,16481.25,4395,2911,3.75,2.3584658272987253,8.0939226519337,prep,0.352901023890785,False,74,83.75053714349889
Latte,Barista Espresso,Coffee,17257.5,4602,2990,3.75,2.469547152953068,8.475138121546962,prep,0.33920034767492396,False,75,86.22008429645196
Morning Sunrise Chai Lg,Brewed Chai tea,Tea,17384.0,4346,2830,4.0,2.4876492949115536,8.003683241252302,prep,0.36286240220892774,False,76,88.7077335913635
Cappuccino Lg,Barista Espresso,Coffee,17641.75,4151,2772,4.25,2.52453330352657,7.644567219152854,prep,0.3473861720067454,False,77,91.23226689489007
Latte Rg,Barista Espresso,Coffee,19112.25,4497,2896,4.25,2.7349617600479372,8.281767955801104,prep,0.3342228152101401,False,78,93.96722865493801
Dark chocolate Lg,Hot chocolate,Drinking Chocolate,21006.0,4668,3029,4.5,3.005957264663604,8.596685082872929,prep,0.3759640102827764,False,79,96.97318591960162
Sustainably Grown Organic Lg,Hot chocolate,Drinking Chocolate,21151.75,4453,2961,4.75,3.0268140803983807,8.20073664825046,prep,0.3550415450258253,False,80,100.0
